계약년월,계약일,시군구,본번,부번,단지명,전용면적(㎡),거래금액(만원),층,건축년도
201701,1,세종특별자치시 보람동,628,2,스타힐타워Ⅰ(C2-3),16.9849,8600,7,2016
201701,1,세종특별자치시 종촌동,683,0,가재마을2단지(호반베르디움3차),59.8652,27300,7,2014
201701,2,세종특별자치시 고운동,1393,0,가락마을15단지(중흥파크뷰),84.9894,32000,3,2015
201701,2,세종특별자치시 고운동,1706,0,가락마을8단지(고운뜰아파트),84.98,30500,20,2015
201701,2,세종특별자치시 아름동,1284,0,범지기마을7단지 호반에코시티,84.928,31300,6,2014
201701,2,세종특별자치시 어진동,649,0,호수의 아침,17.425,7600,4,2014
201701,2,세종특별자치시 연서면 봉암리,622,0,대원네스트빌,59.858,9400,5,2002
201701,2,세종특별자치시 조치원읍 신안리,542,0,세종e편한세상,84.7067,19000,11,2013
201701,2,세종특별자치시 조치원읍 신흥리,398,0,신흥대우푸르지오,84.9228,13000,8,2006
201701,2,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,84.6682,19850,4,2008
201701,2,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,128.9491,22500,8,2008
201701,2,세종특별자치시 한솔동,947,0,첫마을3단지(퍼스트프라임),59.83,25000,4,2011
201701,3,세종특별자치시 종촌동,690,0,가재마을5단지(현대엠코타운),59.9383,28900,19,2014
201701,4,세종특별자치시 아름동,1277,0,대우푸르지오(10단지),101.9478,39500,8,2014
201701,4,세종특별자치시 조치원읍 신안리,542,0,세종e편한세상,99.6514,21400,7,2013
201701,4,세종특별자치시 조치원읍 신흥리,398,0,신흥대우푸르지오,84.9228,18300,2,2006
201701,4,세종특별자치시 조치원읍 신흥리,399,0,조치원 신흥 e편한세상(아),118.198,23900,1,2008
201701,4,세종특별자치시 조치원읍 죽림리,72,0,죽림우방유셀,130.2173,21000,4,2008
201701,4,세종특별자치시 한솔동,984,0,첫마을6단지(힐스테이트),101.46,36700,20,2012
201701,5,세종특별자치시 조치원읍 신흥리,393,0,신흥주공,49.29,11000,19,1999
201701,5,세종특별자치시 종촌동,690,0,가재마을5단지(현대엠코타운),59.9383,27300,8,2014
201701,6,세종특별자치시 도담동,858,0,도램마을 14단지(한림풀에버),99.986,50000,13,2015
201701,6,세종특별자치시 도담동,627,0,엘가에코힐(도램마을5단지),59.9973,29300,25,2015
201701,6,세종특별자치시 도담동,627,0,엘가에코힐(도램마을5단지),59.9973,30000,12,2015
201701,6,세종특별자치시 아름동,1284,0,범지기마을7단지 호반에코시티,84.757,31000,1,2014
201701,6,세종특별자치시 아름동,1282,0,한신엘리트파크(범지기9단지),99.9834,34000,8,2015
201701,6,세종특별자치시 연동면 명학리,255,0,다산청정,41.328,5000,8,2001
201701,6,세종특별자치시 장군면 금암리,259,1,정보마을,28.2616,2000,4,2002
201701,6,세종특별자치시 조치원읍 죽림리,92,0,신동아,59.76,9200,3,1996
201701,6,세종특별자치시 조치원읍 죽림리,92,0,신동아,59.76,9200,3,1996
201701,6,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,84.6641,18500,6,2008
201701,6,세종특별자치시 한솔동,939,0,첫마을1단지(퍼스트프라임),84.96,32700,6,2011
201701,7,세종특별자치시 고운동,1400,0,이지더원(가락마을10단지),72.497,24500,2,2015
201701,7,세종특별자치시 나성동,714,0,에스알파크,35.193,12900,7,2014
201701,7,세종특별자치시 도담동,633,0,도램마을20단지(에듀파크),84.857,36000,21,2014
201701,7,세종특별자치시 도담동,633,0,도램마을20단지(에듀파크),84.857,35700,11,2014
201701,7,세종특별자치시 아름동,1356,0,범지기마을 4단지,84.8568,31000,16,2014
201701,7,세종특별자치시 아름동,1339,0,범지기마을1단지(한양수자인에듀센텀),84.914,35000,16,2015
201701,7,세종특별자치시 조치원읍 신안리,542,0,세종e편한세상,99.6514,19900,3,2013
201701,7,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,84.6641,18800,8,2008
201701,7,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,84.6641,16800,1,2008
201701,7,세종특별자치시 종촌동,652,0,가재마을12단지(중흥에스클래스센텀파크2차),84.9941,37000,26,2015
201701,7,세종특별자치시 종촌동,649,0,가재마을7단지(중흥S클래스 센텀파크1차),84.994,36500,13,2014
201701,8,세종특별자치시 어진동,649,0,호수의 아침,17.834,9500,9,2014
201701,8,세종특별자치시 조치원읍 남리,456,0,다원파크리안,83.256,13300,6,2003
201701,8,세종특별자치시 종촌동,690,0,가재마을5단지(현대엠코타운),84.9424,36000,13,2014
201701,9,세종특별자치시 고운동,1386,0,가락마을17단지(골드클래스),59.9159,25100,7,2015
201701,9,세종특별자치시 고운동,1390,0,가락마을21단지(에듀포레),99.9434,32250,3,2015
201701,9,세종특별자치시 부강면 부강리,976,2,대광,59.4,4000,1,1988
201701,9,세종특별자치시 부강면 부강리,970,3,청솔,49.77,7900,7,1994
201701,9,세종특별자치시 아름동,1277,0,대우푸르지오(10단지),74.5191,29500,18,2014
201701,9,세종특별자치시 아름동,1277,0,대우푸르지오(10단지),74.5191,29000,9,2014
201701,9,세종특별자치시 어진동,603,0,더샵센트럴시티,110.59,61500,16,2013
201701,9,세종특별자치시 연동면 명학리,255,0,다산청정,49.277,6200,7,2001
201701,9,세종특별자치시 조치원읍 죽림리,92,0,신동아,84.98,13400,11,1996
201701,9,세종특별자치시 조치원읍 침산리,89,0,욱일아파트,84.99,14500,8,1996
201701,9,세종특별자치시 종촌동,652,0,가재마을12단지(중흥에스클래스센텀파크2차),84.9941,36500,7,2015
201701,9,세종특별자치시 종촌동,690,0,가재마을5단지(현대엠코타운),84.9424,32400,2,2014
201701,9,세종특별자치시 종촌동,690,0,가재마을5단지(현대엠코타운),59.9383,26400,2,2014
201701,10,세종특별자치시 도담동,853,0,도램마을10단지 호반 어반시티,84.757,37000,3,2014
201701,10,세종특별자치시 부강면 부강리,401,48,주연,59.82,7900,7,1992
201701,10,세종특별자치시 소담동,325,0,새샘마을9단지(중흥S클래스 리버뷰),84.9779,36400,5,2016
201701,10,세종특별자치시 연동면 명학리,255,0,다산청정,31.758,4200,5,2001
201701,10,세종특별자치시 장군면 금암리,259,1,정보마을,28.2616,1800,4,2002
201701,10,세종특별자치시 장군면 금암리,259,1,정보마을,28.2616,1800,4,2002
201701,10,세종특별자치시 장군면 금암리,259,1,정보마을,28.2616,1800,4,2002
201701,10,세종특별자치시 장군면 금암리,259,1,정보마을,28.2616,1800,4,2002
201701,10,세종특별자치시 장군면 금암리,259,1,정보마을,28.2616,1800,4,2002
201701,10,세종특별자치시 조치원읍 번암리,75,2,번암주공,39.69,6500,3,1989
201701,10,세종특별자치시 한솔동,971,0,첫마을5단지(푸르지오),84.62,29900,4,2012
201701,11,세종특별자치시 고운동,1706,0,가락마을8단지(고운뜰아파트),74.77,26300,11,2015
201701,11,세종특별자치시 도담동,633,0,도램마을20단지(에듀파크),84.96,32000,22,2014
201701,11,세종특별자치시 어진동,603,0,더샵센트럴시티,110.59,57800,11,2013
201701,11,세종특별자치시 어진동,649,0,호수의 아침,17.834,9500,3,2014
201701,11,세종특별자치시 조치원읍 신흥리,399,0,조치원 신흥 e편한세상(아),84.974,22100,14,2008
201701,11,세종특별자치시 한솔동,939,0,첫마을1단지(퍼스트프라임),84.96,29900,3,2011
201701,12,세종특별자치시 고운동,1706,0,가락마을8단지(고운뜰아파트),74.77,26350,11,2015
201701,12,세종특별자치시 도담동,633,0,도램마을20단지(에듀파크),84.857,34500,9,2014
201701,12,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,84.6641,16900,1,2008
201701,12,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,84.6682,19400,15,2008
201701,12,세종특별자치시 종촌동,690,0,가재마을5단지(현대엠코타운),59.9383,25000,3,2014
201701,12,세종특별자치시 한솔동,984,0,첫마을6단지(힐스테이트),84.18,30500,12,2012
201701,13,세종특별자치시 고운동,1390,0,가락마을21단지(에듀포레),84.967,31800,4,2015
201701,13,세종특별자치시 금남면 용포리,263,0,신성연기미소지움,84.8809,15600,1,2007
201701,13,세종특별자치시 도담동,681,0,도램마을4단지(이지더원),59.9853,27700,10,2014
201701,13,세종특별자치시 조치원읍 신흥리,399,0,조치원 신흥 e편한세상(아),118.198,24600,4,2008
201701,13,세종특별자치시 조치원읍 죽림리,92,0,신동아,59.76,9200,5,1996
201701,13,세종특별자치시 조치원읍 죽림리,393,0,조치원신동아파밀리에,84.8375,18200,15,2008
201701,13,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,84.6641,19000,2,2008
201701,13,세종특별자치시 종촌동,656,0,가재마을10단지(제일풍경채에듀파크),84.9365,36200,11,2014
201701,13,세종특별자치시 종촌동,652,0,가재마을12단지(중흥에스클래스센텀파크2차),84.9941,37500,22,2015
201701,13,세종특별자치시 종촌동,683,0,가재마을2단지(호반베르디움3차),84.9893,30000,1,2014
201701,13,세종특별자치시 종촌동,649,0,가재마을7단지(중흥S클래스 센텀파크1차),84.994,36000,19,2014
201701,13,세종특별자치시 한솔동,939,0,첫마을1단지(퍼스트프라임),102.63,33000,4,2011
201701,13,세종특별자치시 한솔동,984,0,첫마을6단지(힐스테이트),84.11,31600,24,2012
201701,14,세종특별자치시 고운동,1395,0,가락마을16단지(에듀그린),84.8788,32500,21,2015
201701,14,세종특별자치시 고운동,1706,0,가락마을8단지(고운뜰아파트),74.77,27700,16,2015
201701,14,세종특별자치시 금남면 용포리,320,0,두진리버빌,43.008,9050,12,2000
201701,14,세종특별자치시 금남면 용포리,320,0,두진리버빌,59.8676,15700,5,2000
201701,14,세종특별자치시 아름동,1282,0,한신엘리트파크(범지기9단지),84.9899,28950,1,2015
201701,14,세종특별자치시 조치원읍 신안리,35,3,유니빌,28.168,3550,12,2002
201701,14,세종특별자치시 조치원읍 신흥리,399,0,조치원 신흥 e편한세상(아),84.976,19400,12,2008
201701,14,세종특별자치시 조치원읍 신흥리,399,0,조치원 신흥 e편한세상(아),84.976,20200,9,2008
201701,14,세종특별자치시 조치원읍 침산리,89,0,욱일아파트,59.999,13200,9,1996
201701,14,세종특별자치시 종촌동,654,0,가재마을11단지(한신휴플러스),59.614,25500,9,2013
201701,14,세종특별자치시 종촌동,654,0,가재마을11단지(한신휴플러스),59.9316,27000,11,2013
201701,14,세종특별자치시 종촌동,654,0,가재마을11단지(한신휴플러스),84.815,35200,10,2013
201701,14,세종특별자치시 종촌동,654,0,가재마을11단지(한신휴플러스),59.614,26900,14,2013
201701,14,세종특별자치시 종촌동,690,0,가재마을5단지(현대엠코타운),59.9383,24500,2,2014
201701,15,세종특별자치시 고운동,1408,0,가락마을9단지(신동아 파밀리에),84.986,29000,10,2015
201701,15,세종특별자치시 조치원읍 신안리,542,0,세종e편한세상,99.6514,21000,4,2013
201701,15,세종특별자치시 조치원읍 신안리,244,1,조형,39.97,4800,1,1991
201701,15,세종특별자치시 조치원읍 신흥리,398,0,신흥대우푸르지오,84.9228,20700,11,2006
201701,15,세종특별자치시 종촌동,652,0,가재마을12단지(중흥에스클래스센텀파크2차),84.9941,33000,4,2015
201701,15,세종특별자치시 종촌동,690,0,가재마을5단지(현대엠코타운),59.9383,27500,9,2014
201701,15,세종특별자치시 종촌동,649,0,가재마을7단지(중흥S클래스 센텀파크1차),84.991,35000,9,2014
201701,15,세종특별자치시 한솔동,939,0,첫마을1단지(퍼스트프라임),84.81,35800,3,2011
201701,15,세종특별자치시 한솔동,947,0,첫마을3단지(퍼스트프라임),102.84,42400,5,2011
