계약년월,계약일,시군구,본번,부번,건물명,전월세구분,전용면적(㎡),보증금(만원),월세(만원),층,건축년도
201701,7,세종특별자치시 조치원읍 남리,349,0,꿈동산,월세,17.982,1000,24,4,2013
201701,7,세종특별자치시 조치원읍 신안리,387,7,비스하우스,전세,26.53,5000,0,3,2013
201701,11,세종특별자치시 조치원읍 봉산리,190,13,마이움 101동,전세,15.04,3500,0,1,2014
201701,17,세종특별자치시 조치원읍 남리,60,8,세종 팰리스 2동,전세,14.54,3000,0,3,2012
201701,17,세종특별자치시 조치원읍 봉산리,190,11,마이움 102동,월세,15.84,1000,15,3,2014
201701,18,세종특별자치시 금남면 도남리,95,0,금강의휴양림마을(프로방스빌),월세,52.182,1000,40,2,2015
201701,18,세종특별자치시 부강면 부강리,990,9,상당3동,전세,50.73,2500,0,2,1990
201701,18,세종특별자치시 조치원읍 봉산리,190,11,마이움 102동,전세,20.16,3500,0,1,2014
201701,19,세종특별자치시 조치원읍 서창리,295,6,홈인 레지던스,전세,20.22,3700,0,2,2013
201701,21,세종특별자치시 조치원읍 남리,349,0,꿈동산,전세,13.628,3500,0,4,2013
201701,21,세종특별자치시 조치원읍 남리,60,8,세종 팰리스 2동,전세,14.67,3000,0,3,2012
201701,21,세종특별자치시 조치원읍 봉산리,190,11,마이움 102동,전세,20.16,3500,0,4,2014
201701,23,세종특별자치시 조치원읍 정리,112,0,세진시티빌,월세,15.881,1400,14,4,2015
201701,26,세종특별자치시 조치원읍 정리,112,0,세진시티빌,전세,21.5014,4500,0,3,2015
201702,10,세종특별자치시 조치원읍 봉산리,190,13,마이움 101동,월세,14.81,200,35,1,2014
201702,11,세종특별자치시 조치원읍 봉산리,190,11,마이움 102동,전세,15.84,3500,0,1,2014
201702,13,세종특별자치시 도담동,674,0,까사누보,월세,27.6012,500,40,6,2015
201702,14,세종특별자치시 조치원읍 봉산리,190,11,마이움 102동,전세,15.84,3500,0,1,2014
201702,14,세종특별자치시 조치원읍 서창리,295,6,홈인 레지던스,전세,20.19,3500,0,5,2013
201702,16,세종특별자치시 도담동,674,0,까사누보,월세,22.686,500,38,6,2015
201702,16,세종특별자치시 조치원읍 남리,60,8,세종 팰리스 2동,전세,17.31,3300,0,3,2012
201702,21,세종특별자치시 조치원읍 봉산리,190,11,마이움 102동,전세,20.16,3000,0,3,2014
201702,21,세종특별자치시 조치원읍 신흥리,106,0,주공연립,전세,55.35,6500,0,1,1984
201702,22,세종특별자치시 연서면 월하리,618,1,삼풍,전세,54.09,3500,0,1,1991
